district_code,district_name,gram_panchayat_code,gram_panchayat_name,parent_kp_code
164,Mahrajganj,271215,Madhopur,1935
160,Kushinagar,271426,Madhopur Khurd,1901
164,Mahrajganj,76581,Madhubani,1931
182,Siddharthnagar,88776,Madhubani,2129
182,Siddharthnagar,274009,Madhubeniya,2123
182,Siddharthnagar,273862,Madhukarpur,2118
182,Siddharthnagar,274007,Madhukarpur,2120
182,Siddharthnagar,269826,Madhukarpur Chaube,2120
164,Mahrajganj,76953,Madhukarpur Mahdewa,1936
160,Kushinagar,74166,Madhuria,1892
129,Bara Banki,52607,Madhva Jalalpur,1539
164,Mahrajganj,77022,Madhvaliya,1937
181,Shrawasti,87874,Madhvapur,2117
164,Mahrajganj,268459,Madhwapur,1936
147,Gonda,297448,Madhwapur,1745
182,Siddharthnagar,88556,Madhwapur Kalan,2126
129,Bara Banki,268146,Madinpur,1533
129,Bara Banki,52313,Madna,1535
147,Gonda,297463,Madnapur,1743
178,Sant Kabir Nagar,86151,Madpauna,2089
178,Sant Kabir Nagar,85730,Madraha,2083
182,Siddharthnagar,88473,Maduapur,2125
160,Kushinagar,74983,Maghi Kothilwa,1904
160,Kushinagar,74984,Maghi Mathia,1904
164,Mahrajganj,76518,Mahadeuva,1930
147,Gonda,297415,Mahadev,1742
181,Shrawasti,87617,Mahadev Jagdish,2113
164,Mahrajganj,76888,Mahadeva,1935
182,Siddharthnagar,274015,Mahadeva Gajpur,2120
178,Sant Kabir Nagar,86094,Mahadewa,2088
182,Siddharthnagar,88780,Mahadewa Ganga Ram,2129
182,Siddharthnagar,88783,Mahadewa Nankar,2129
164,Mahrajganj,76889,Mahammada,1935
182,Siddharthnagar,273966,Mahanuva Khas,2120
182,Siddharthnagar,88878,Maharia,2131
160,Kushinagar,74167,Mahason,1892
182,Siddharthnagar,267634,Mahatha,2130
179,Bhadohi,86397,Mahathua,2093
164,Mahrajganj,76386,Mahawan Khor Urf Barhara,1928
125,Bahraich,302485,Mahbubnagar,1483
164,Mahrajganj,76665,Mahdeiya,1932
181,Shrawasti,87618,Mahdeiya,2113
182,Siddharthnagar,88623,Mahdeiya,2127
179,Bhadohi,86785,Mahdepur,2097
164,Mahrajganj,267142,Mahdeva Kanshiram,1929
164,Mahrajganj,271212,Mahdewa Urff Baluwabhaar,1935
164,Mahrajganj,270731,Mahdeyiya,1934
171,Moradabad,297213,Maheshpur,2000
147,Gonda,297442,Maheshpur,1745
164,Mahrajganj,76451,Maheshpur Mahdaiya,1929
178,Sant Kabir Nagar,86152,Maheshwarpur,2089
179,Bhadohi,86786,Mahjuda,2097
178,Sant Kabir Nagar,269314,Mahla,2090
160,Kushinagar,74476,Mahmada Zameen Sikatiya,1897
129,Bara Banki,52537,Mahmooda Bad,1538
129,Bara Banki,52199,Mahmoodpur Banauga,1533
182,Siddharthnagar,88235,Mahokhawa,2122
129,Bara Banki,51798,Maholiya,1528
129,Bara Banki,52201,Maholiya,1533
181,Shrawasti,87619,Mahroli,2113
182,Siddharthnagar,88084,Mahtaniya Bujurg,2120
182,Siddharthnagar,88624,Mahthawal,2127
182,Siddharthnagar,273967,Mahtiniya Khurd,2120
160,Kushinagar,74915,Mahua Bujurg,1903
160,Kushinagar,74916,Mahua Deoria,1903
160,Kushinagar,74231,Mahua Dih Laungrapur,1893
182,Siddharthnagar,88557,Mahua Khurd,2126
129,Bara Banki,51665,Mahua Mau,1526
179,Bhadohi,86787,Mahuapur,2097
178,Sant Kabir Nagar,269086,Mahuar,2086
182,Siddharthnagar,88236,Mahuara,2122
164,Mahrajganj,76306,Mahuari,1926
178,Sant Kabir Nagar,86286,Mahuari,2091
179,Bhadohi,86601,Mahuari,2095
160,Kushinagar,74169,Mahuawa Buzurg,1892
160,Kushinagar,74170,Mahuawa Khurd,1892
164,Mahrajganj,76955,Mahuawa Mahuae,1936
160,Kushinagar,74477,Mahui,1897
182,Siddharthnagar,274012,Mahui,2126
160,Kushinagar,74234,Mahui Buzurg,1893
178,Sant Kabir Nagar,85940,Mahuie,2086
129,Bara Banki,51606,Mahulaara,1525
182,Siddharthnagar,269349,Mahulani,2125
178,Sant Kabir Nagar,86095,Mahuli Khas,2088
182,Siddharthnagar,273904,Mahuva Kala,2118
164,Mahrajganj,76890,Mahuva Mahuai,1935
164,Mahrajganj,268715,Mahuwa No-1,1932
659,Sambhal,297371,Maihusainpur Pukhta,1589
160,Kushinagar,74634,Maila,1899
129,Bara Banki,52538,Maila Raiganj,1538
179,Bhadohi,86602,Mailauna,2095
