block_code,block_name,district_code,tehsil_code,tehsil_name,resolution,source
968,Kyara,130,785,Meerganj,derived_village,village_gram_panchayat_mapping.csv
968,Kyara,130,787,Bareilly,derived_village,village_gram_panchayat_mapping.csv
969,Majhgawan,130,786,Aonla,derived_village,village_gram_panchayat_mapping.csv
970,Mirganj,130,785,Meerganj,derived_village,village_gram_panchayat_mapping.csv
971,Nawabganj,130,788,Nawabganj,derived_village,village_gram_panchayat_mapping.csv
972,Ramnagar,130,786,Aonla,derived_village,village_gram_panchayat_mapping.csv
973,Shergarh,130,784,Baheri,derived_village,village_gram_panchayat_mapping.csv
973,Shergarh,130,785,Meerganj,derived_village,village_gram_panchayat_mapping.csv
974,Bahadurpur,131,939,Basti,derived_village,village_gram_panchayat_mapping.csv
975,Bankati,131,939,Basti,derived_village,village_gram_panchayat_mapping.csv
976,Basti,131,939,Basti,derived_village,village_gram_panchayat_mapping.csv
977,Dubauliya,131,938,Harraiya,derived_village,village_gram_panchayat_mapping.csv
978,Gaur,131,938,Harraiya,derived_village,village_gram_panchayat_mapping.csv
979,Harraiya,131,938,Harraiya,derived_village,village_gram_panchayat_mapping.csv
980,Kaptanganj,131,938,Harraiya,derived_village,village_gram_panchayat_mapping.csv
981,Kudaraha,131,939,Basti,derived_village,village_gram_panchayat_mapping.csv
982,Paras Rampur,131,938,Harraiya,derived_village,village_gram_panchayat_mapping.csv
983,Ramnagar,131,937,Bhanpur,derived_village,village_gram_panchayat_mapping.csv
984,Rudauli,131,940,Rudhauli,derived_village,village_gram_panchayat_mapping.csv
985,Saltaua Gopal Pur,131,937,Bhanpur,derived_village,village_gram_panchayat_mapping.csv
986,Sau Ghat,131,939,Basti,derived_village,village_gram_panchayat_mapping.csv
986,Sau Ghat,131,940,Rudhauli,derived_village,village_gram_panchayat_mapping.csv
987,Vikram Jot,131,938,Harraiya,derived_village,village_gram_panchayat_mapping.csv
988,Afzalgarh,132,714,Nagina,derived_village,village_gram_panchayat_mapping.csv
988,Afzalgarh,132,715,Dhampur,derived_village,village_gram_panchayat_mapping.csv
989,Budhanpur Seohara,132,715,Dhampur,derived_village,village_gram_panchayat_mapping.csv
990,Dhampur,132,715,Dhampur,derived_village,village_gram_panchayat_mapping.csv
991,Haldaur(Khari Jhalu),132,713,Bijnor,derived_village,village_gram_panchayat_mapping.csv
991,Haldaur(Khari Jhalu),132,716,Chandpur,derived_village,village_gram_panchayat_mapping.csv
992,Jalilpur,132,716,Chandpur,derived_village,village_gram_panchayat_mapping.csv
993,Kiratpur,132,712,Najibabad,derived_village,village_gram_panchayat_mapping.csv
994,Kotwali,132,714,Nagina,derived_village,village_gram_panchayat_mapping.csv
995,Mohammedpur Deomal,132,713,Bijnor,derived_village,village_gram_panchayat_mapping.csv
996,Najibabad,132,712,Najibabad,derived_village,village_gram_panchayat_mapping.csv
997,Nehtaur,132,715,Dhampur,derived_village,village_gram_panchayat_mapping.csv
998,Noorpur,132,716,Chandpur,derived_village,village_gram_panchayat_mapping.csv
999,Ambiapur,133,780,Bilsi,derived_village,village_gram_panchayat_mapping.csv
1000,Asafpur,133,779,Bisauli,derived_village,village_gram_panchayat_mapping.csv
1001,Bisauli,133,779,Bisauli,derived_village,village_gram_panchayat_mapping.csv
1001,Bisauli,133,780,Bilsi,derived_village,village_gram_panchayat_mapping.csv
1002,Dahgavan,133,781,Sahaswan,derived_village,village_gram_panchayat_mapping.csv
1003,Dataganj,133,783,Dataganj,derived_village,village_gram_panchayat_mapping.csv
1004,Gunnaur,659,778,Gunnaur,derived_village,village_gram_panchayat_mapping.csv
1005,Islamnagar,133,779,Bisauli,derived_village,village_gram_panchayat_mapping.csv
1005,Islamnagar,133,780,Bilsi,derived_village,village_gram_panchayat_mapping.csv
1006,Jagat,133,782,Budaun,derived_village,village_gram_panchayat_mapping.csv
1007,Junawai,659,778,Gunnaur,derived_village,village_gram_panchayat_mapping.csv
1008,Mion,133,782,Budaun,derived_village,village_gram_panchayat_mapping.csv
1008,Mion,133,783,Dataganj,derived_village,village_gram_panchayat_mapping.csv
1009,Qadar Chowk,133,782,Budaun,derived_village,village_gram_panchayat_mapping.csv
1010,Rajpura,659,778,Gunnaur,derived_village,village_gram_panchayat_mapping.csv
1011,Sahaswan,133,780,Bilsi,derived_village,village_gram_panchayat_mapping.csv
1011,Sahaswan,133,781,Sahaswan,derived_village,village_gram_panchayat_mapping.csv
1012,Salarpur,133,782,Budaun,derived_village,village_gram_panchayat_mapping.csv
1013,Samrer,133,783,Dataganj,derived_village,village_gram_panchayat_mapping.csv
1014,Ujhani,133,782,Budaun,derived_village,village_gram_panchayat_mapping.csv
1015,Usawan,133,783,Dataganj,derived_village,village_gram_panchayat_mapping.csv
1016,Wazirganj,133,779,Bisauli,derived_village,village_gram_panchayat_mapping.csv
1017,Agauta,134,746,Bulandshahr,derived_village,village_gram_panchayat_mapping.csv
1018,Anupshahr,134,748,Anupshahr,derived_village,village_gram_panchayat_mapping.csv
1019,Araniya,134,751,Khurja,derived_village,village_gram_panchayat_mapping.csv
1020,Bhawan Bahadur Nagar,134,746,Bulandshahr,derived_village,village_gram_panchayat_mapping.csv
1020,Bhawan Bahadur Nagar,134,747,Siana,derived_village,village_gram_panchayat_mapping.csv
1021,Bulandshahr,134,746,Bulandshahr,derived_village,village_gram_panchayat_mapping.csv
1022,Danpur,134,749,Debai,derived_village,village_gram_panchayat_mapping.csv
1023,Dibai,134,749,Debai,derived_village,village_gram_panchayat_mapping.csv
1024,Gulaothi,134,745,Sikandrabad,derived_village,village_gram_panchayat_mapping.csv
1024,Gulaothi,134,746,Bulandshahr,derived_village,village_gram_panchayat_mapping.csv
1025,Jahangirabad,134,747,Siana,derived_village,village_gram_panchayat_mapping.csv
1025,Jahangirabad,134,748,Anupshahr,derived_village,village_gram_panchayat_mapping.csv
1026,Khurja,134,751,Khurja,derived_village,village_gram_panchayat_mapping.csv
1027,Lakhaothi,134,746,Bulandshahr,derived_village,village_gram_panchayat_mapping.csv
1028,Pahasu,134,750,Shikarpur,derived_village,village_gram_panchayat_mapping.csv
1029,Shikarpur,134,750,Shikarpur,derived_village,village_gram_panchayat_mapping.csv
1030,Sikandrabad,134,745,Sikandrabad,derived_village,village_gram_panchayat_mapping.csv
1031,Syana,134,747,Siana,derived_village,village_gram_panchayat_mapping.csv
1032,Unchagaon,134,747,Siana,derived_village,village_gram_panchayat_mapping.csv
1033,Berahani,135,993,Chandauli,derived_village,village_gram_panchayat_mapping.csv
1034,Chahniya,135,992,Sakaldiha,derived_village,village_gram_panchayat_mapping.csv
1034,Chahniya,135,6869,Pandit Deendayal Upadhyay Nagar,derived_village,village_gram_panchayat_mapping.csv
1035,Chakiya,135,994,Chakia,derived_village,village_gram_panchayat_mapping.csv
1036,Chandauli,135,993,Chandauli,derived_village,village_gram_panchayat_mapping.csv
1037,Dhanapur,135,992,Sakaldiha,derived_village,village_gram_panchayat_mapping.csv
1038,Naugarh,135,6870,Naugarh,derived_village,village_gram_panchayat_mapping.csv
1039,Niyamatabad,135,993,Chandauli,derived_village,village_gram_panchayat_mapping.csv
1039,Niyamatabad,135,6869,Pandit Deendayal Upadhyay Nagar,derived_village,village_gram_panchayat_mapping.csv
1040,Sahabganj,135,994,Chakia,derived_village,village_gram_panchayat_mapping.csv
1041,Sakaldiha,135,992,Sakaldiha,derived_village,village_gram_panchayat_mapping.csv
1041,Sakaldiha,135,6869,Pandit Deendayal Upadhyay Nagar,derived_village,village_gram_panchayat_mapping.csv
1042,Karwi,136,875,Karwi,derived_village,village_gram_panchayat_mapping.csv
1042,Karwi,136,876,Mau,derived_village,village_gram_panchayat_mapping.csv
1042,Karwi,136,5930,Manikpur,derived_village,village_gram_panchayat_mapping.csv
1043,Manikpur,136,5930,Manikpur,derived_village,village_gram_panchayat_mapping.csv
1043,Manikpur,136,6156,Rajapur,derived_village,village_gram_panchayat_mapping.csv
