district_code,gram_panchayat_code,block_code,resolution
119,43351,818,exact_name
119,43352,818,exact_name
119,43353,818,exact_name
119,43354,818,exact_name
119,43355,818,exact_name
119,43356,818,exact_name
119,43357,818,exact_name
119,43358,818,exact_name
119,43359,818,exact_name
119,43360,818,exact_name
119,43361,818,exact_name
119,43362,818,exact_name
119,43363,818,exact_name
119,43364,818,exact_name
119,43365,818,exact_name
119,43366,818,exact_name
119,43367,818,exact_name
119,43368,818,exact_name
119,43369,818,exact_name
119,43370,818,exact_name
119,43371,818,exact_name
119,43372,818,exact_name
119,43373,818,exact_name
119,43374,818,exact_name
119,43375,818,exact_name
119,43376,818,exact_name
119,43377,818,exact_name
119,43378,818,exact_name
119,43379,818,exact_name
119,43380,818,exact_name
119,43381,818,exact_name
119,43382,818,exact_name
119,43383,818,exact_name
119,43384,818,exact_name
119,43385,818,exact_name
119,43386,818,exact_name
119,43387,818,exact_name
119,43388,818,exact_name
119,43389,818,exact_name
119,43390,818,exact_name
119,43391,818,exact_name
119,43392,818,exact_name
119,43393,818,exact_name
119,43394,818,exact_name
119,43395,818,exact_name
119,43396,818,exact_name
119,43397,818,exact_name
119,43398,818,exact_name
119,43399,818,exact_name
119,43400,818,exact_name
119,43401,818,exact_name
119,43402,818,exact_name
119,43403,818,exact_name
119,43404,818,exact_name
119,43405,818,exact_name
119,266271,819,exact_name
119,266273,819,exact_name
119,266278,819,exact_name
119,266281,819,exact_name
119,266282,819,exact_name
119,43406,819,exact_name
119,43407,819,exact_name
119,43408,819,exact_name
119,43409,819,exact_name
119,43410,819,exact_name
119,43411,819,exact_name
119,43412,819,exact_name
119,43413,819,exact_name
119,43414,819,exact_name
119,43415,819,exact_name
119,43416,819,exact_name
119,43417,819,exact_name
119,43418,819,exact_name
119,43419,819,exact_name
119,43420,819,exact_name
119,43421,819,exact_name
119,43422,819,exact_name
119,43423,819,exact_name
119,43424,819,exact_name
119,43425,819,exact_name
119,43426,819,exact_name
119,43427,819,exact_name
119,43428,819,exact_name
