district_name,block_name,block_code,gram_panchayat_name,gram_panchayat_code
BAHRAICH,KAISARGANJ,1481,DIHAWA SHER BAHADUR SINGH,49019
BAHRAICH,KAISARGANJ,1481,NAUGOHIA,49044
BAHRAICH,KAISARGANJ,1481,PAWANA,49048
BAHRAICH,KAISARGANJ,1481,RUKANAPUR KALAN,49051
BAHRAICH,MIHINPURWA,1483,MIHI PURWA,49175
BAHRAICH,NAWABGANJ,1484,GOKULPUR,266572
BAHRAICH,NAWABGANJ,1484,KEVALPUR,49224
BAHRAICH,NAWABGANJ,1484,PANCHPAKARI,49236
BAHRAICH,PRAYAGPUR,1486,NOOR PUR,49360
BAHRAICH,PRAYAGPUR,1486,PAYAG PUR,49369
BAHRAICH,PRAYAGPUR,1486,SACHAULI,49375
BALLIA,GARWAR,1497,CHAK MANIYA,272597
BALLIA,GARWAR,1497,CHHATAWA,49912
BALLIA,GARWAR,1497,JIGNI JIGANHARA,49923
BALLIA,GARWAR,1497,RATSARH KHURD,49944
BALLIA,GARWAR,1497,RATSHAR KALAN,49945
BALLIA,NAGRA,1501,BHANDARI,272642
BALLIA,NAGRA,1501,CACHIYA,50093
BALLIA,NAGRA,1501,NAGRA,50130
BALRAMPUR,GAISRI,1510,GAINSARI,50631
BALRAMPUR,GAISRI,1510,KHADGAURA,50650
BALRAMPUR,GAISRI,1510,LATTHAWAR,50657
BALRAMPUR,GAISRI,1510,MAJHAULI,50665
BALRAMPUR,GAISRI,1510,SATHI,50691
BALRAMPUR,PACHPEDWA,1512,BARGADWA SAIF,50795
BALRAMPUR,PACHPEDWA,1512,SISHANIA BARGADHI,50857
BALRAMPUR,TULSIPUR,1515,DAVIPATAN,51007
BANDA,MAHUVA,1522,BARUWA SEODHA,51388
BAREILLY,MAJHGAWAN,1551,ABADANPUR,268109
BAREILLY,MAJHGAWAN,1551,BEHTA JANU,53375
BAREILLY,MAJHGAWAN,1551,NAGARIA SATAN,53416
BAREILLY,NAWABGANJ,1553,YAKOOBPUR,268537
BAREILLY,NAWABGANJ,1553,BAHORE NAGLA,53503
BASTI,BAHADURPUR,1556,BIRU PUR,53720
BASTI,BAHADURPUR,1556,DEVAPAR,53724
BASTI,BAHADURPUR,1556,HARNAKHA,53731
BASTI,BAHADURPUR,1556,NAGAR KHAS,53757
BASTI,BAHADURPUR,1556,PHULVARIA BARGAH,53764
BASTI,BANKATI,1557,BARDAND,53788
BASTI,BANKATI,1557,BODAWAL,53798
BASTI,BANKATI,1557,JAGDISHPUR,53816
BASTI,BANKATI,1557,KEITHOORI,53822
BASTI,BANKATI,1557,MUNDERWA LOHADAR,53841
BASTI,BANKATI,1557,UOMRIAHRA,53861
BASTI,BASTI,1558,Bandhua,266631
BASTI,BASTI,1558,Majhariya,266638
BASTI,BASTI,1558,BAKAINIYA  DEEP,53863
BASTI,BASTI,1558,GANESHPUR,53895
BASTI,BASTI,1558,TEMA,53947
BASTI,GAUR,1560,SONHATI,267443
BASTI,GAUR,1560,CHETRA,54032
BASTI,GAUR,1560,SANTHUA,54083
BASTI,HARRAIYA,1561,BHADASI,54106
BASTI,HARRAIYA,1561,KARAMDAR,54127
BASTI,HARRAIYA,1561,MAHU GHAT,54140
BASTI,HARRAIYA,1561,THANA KHAS,54172
BASTI,KAPTANGANJ,1562,BELSOR,54183
BASTI,KAPTANGANJ,1562,DUBAULI  MISHR,54188
BASTI,KAPTANGANJ,1562,KAKUA RAUT,54194
BASTI,KAPTANGANJ,1562,KAPTANGANJ,54196
BASTI,KAPTANGANJ,1562,MADANPURA,54207
BASTI,KAPTANGANJ,1562,MAHUA MISHRA,54209
BASTI,KAPTANGANJ,1562,NAKTI DEI BUJURG,54214
BASTI,KAPTANGANJ,1562,PATKHAULI BABU,54219
BASTI,KAPTANGANJ,1562,RANAJOT KALA,54229
BASTI,KAPTANGANJ,1562,RATASI,54231
BASTI,KUDARAHA,1563,GANA,54261
BASTI,KUDARAHA,1563,GAYGHAT,54263
BASTI,KUDARAHA,1563,PYAREPUR,54291
BASTI,RAMNAGAR,1565,UKADA,267839
BASTI,RAMNAGAR,1565,PELNI,267840
BASTI,RAMNAGAR,1565,SISWA BZURUG,267842
BASTI,RAMNAGAR,1565,BAIDAULA,54392
BASTI,RAMNAGAR,1565,BANTIKRA,54396
BASTI,RAMNAGAR,1565,BANVADHIA,54397
BASTI,RAMNAGAR,1565,BHANPUR,54405
BASTI,RAMNAGAR,1565,JAGDEESHPUR URF NAUGARH,54416
BASTI,RAMNAGAR,1565,KHAIRA,54422
BASTI,RAMNAGAR,1565,SISWA KHURD,54452
BASTI,SALTAUA GOPAL PUR,1567,FERSUM,267852
BASTI,SALTAUA GOPAL PUR,1567,AAHAR,54528
BIJNOR,HALDAUR(KHARI JHALU),1573,SHABAZPUR KHANA,266630
BIJNOR,HALDAUR(KHARI JHALU),1573,FATEHPUR NOABAD,54981
BIJNOR,HALDAUR(KHARI JHALU),1573,KADAPUR URF LADAPUR,55006
BIJNOR,HALDAUR(KHARI JHALU),1573,MUKARPUR KHEMA,55012
BIJNOR,HALDAUR(KHARI JHALU),1573,RAMPUR BAKLI,55027
BUDAUN,DAHGAVAN,1584,DAHGAWAN,55876
BULANDSHAHR,SIKANDRABAD,1612,AMIRPUR BANGAR,259789
BULANDSHAHR,SIKANDRABAD,1612,BELANA,259792
BULANDSHAHR,SIKANDRABAD,1612,CHOUKI,259794
BULANDSHAHR,SIKANDRABAD,1612,GADHANA,259797
BULANDSHAHR,SIKANDRABAD,1612,JHAJHAR,259801
CHITRAKOOT,KARWI,1624,Ahmadganj,266660
CHITRAKOOT,KARWI,1624,CHITARA GOKULPUR,58248
CHITRAKOOT,KARWI,1624,KHOHI,58274
CHITRAKOOT,MAU,1626,MAU MUSTKIL,58415
CHITRAKOOT,PAHARI,1627,CHHILLI RAKAS BANGER,58463
CHITRAKOOT,RAMNAGAR,1628,KHATAWARA,58533
CHITRAKOOT,RAMNAGAR,1628,PARAKON,58537
DEORIA,BAITALPUR,1629,ITWA,265841
DEORIA,BAITALPUR,1629,RUCHAPAR,266719
DEORIA,BAITALPUR,1629,MUKUNDPUR,266730
DEORIA,BAITALPUR,1629,GOVINDPUR,272172
DEORIA,BAITALPUR,1629,BADHAYA,58554
DEORIA,BAITALPUR,1629,BAITALPUR,58555
DEORIA,BAITALPUR,1629,BARARI-I,58560
DEORIA,BAITALPUR,1629,BELAHI TIVARI,58567
DEORIA,BAITALPUR,1629,VISHUNPURA,58574
DEORIA,BAITALPUR,1629,GUDARI,58583
DEORIA,BAITALPUR,1629,JUNGLE SAHAJAULI,58590
DEORIA,BAITALPUR,1629,MEHRA,58601
DEORIA,BARHAJ,1631,UTTAR MOHAW,267351
DEORIA,BARHAJ,1631,LAVARACHHI,58723
DEORIA,BARHAJ,1631,MOHAVN,58727
DEORIA,BARHAJ,1631,PACHAUHA,58733
DEORIA,BHALUANI,1633,TARKULAHA,269027
DEORIA,BHALUANI,1633,PATHKHAULI,269029
DEORIA,BHALUANI,1633,JARAR RAMMAN,269039
DEORIA,BHALUANI,1633,THAKUR DEORIA,269044
DEORIA,BHALUANI,1633,BHALUANI,58810
DEORIA,BHALUANI,1633,DUMARI,58816
DEORIA,BHALUANI,1633,JARAR MANIK,58823
DEORIA,BHALUANI,1633,PHULVARIA LALA,58852
DEORIA,BHALUANI,1633,SHIVDHARIA,58860
DEORIA,DEORIA SADAR,1636,BABHANI..,58992
DEORIA,DEORIA SADAR,1636,BADAHARA,58993
DEORIA,DEORIA SADAR,1636,DANOPUR,59015
DEORIA,DEORIA SADAR,1636,DEORIA KHAS,59016
DEORIA,DEORIA SADAR,1636,DHANAUTI KHURD,59019
DEORIA,DEORIA SADAR,1636,KATARARI,59026
DEORIA,DEORIA SADAR,1636,KATHINHIA,59027
DEORIA,DEORIA SADAR,1636,MUDADIH,59041
DEORIA,DEORIA SADAR,1636,PAGARA URF PARASIA,59047
DEORIA,DEORIA SADAR,1636,PARASIA URF KHARJARVA,59054
DEORIA,DEORIA SADAR,1636,PIDARA,59057
DEORIA,DEORIA SADAR,1636,PIPARPATTI,59058
DEORIA,DEORIA SADAR,1636,RAGHAVAPUR,59060
DEORIA,DEORIA SADAR,1636,SAKARAPAR,59063
DEORIA,DEORIA SADAR,1636,SONDA,59068
DEORIA,DEORIA SADAR,1636,TILAI BELVA,59072
DEORIA,DESAI DEORIA,1637,BHUJAULI,59080
DEORIA,DESAI DEORIA,1637,DUMARI EKHLAKH,59087
DEORIA,DESAI DEORIA,1637,HETIMPUR,59092
DEORIA,DESAI DEORIA,1637,KOTWA,59097
DEORIA,DESAI DEORIA,1637,MUNDERA CHAND,59100
DEORIA,PATHAR DEWA,1640,KUCHAYA,270448
DEORIA,PATHAR DEWA,1640,MACHHAILA,270456
DEORIA,PATHAR DEWA,1640,BHELIPATTI,59263
DEORIA,PATHAR DEWA,1640,FARENDHA,59270
DEORIA,PATHAR DEWA,1640,MAHUARI,59285
DEORIA,PATHAR DEWA,1640,PATHARDEWA,59301
DEORIA,PATHAR DEWA,1640,SIDHAVE,59312
DEORIA,RAMPUR KARKHANA,1641,BHIMPUR,59326
DEORIA,RAMPUR KARKHANA,1641,AMBARPUR URF JATAMALPUR,59333
DEORIA,RUDRAPUR,1642,MATHIA TIWARI,271037
DEORIA,RUDRAPUR,1642,KEOTALIA,59404
DEORIA,RUDRAPUR,1642,MADANPUR,59410
DEORIA,RUDRAPUR,1642,PAUHARIA,59429
DEORIA,RUDRAPUR,1642,RAMAIPUR,59432
