district_code,tehsil_code,village_code,village_name,gram_panchayat_code,gram_panchayat_name
146,6834,205468,Chak Dariya,64202,Chak Jainab
146,990,206032,Chak Dariya,64421,Bala Pur
146,989,204740,Chak Daud,64786,Jagadishpur Vidyapat
146,989,205112,Chak Daud,64049,Nagawa Khurd Urf Kataila
146,987,203719,Chak Daud,64291,Chak Daud
146,990,205820,Chak Daurullah,64726,Karimuddinpur
146,990,206010,Chak Davan,64482,Silaich
146,990,206215,Chak Dharmsen,63903,Masauni
146,990,206047,Chak Diler Himmat,64451,Ichauli
146,990,206236,Chak Doman,63891,Khardiha
146,989,204937,Chak Dullah,64050,Nevaada
146,990,206356,Chak Dumaria,63911,Pakhanpuraa
146,987,203769,Chak Endrabhan,64290,Chak Bakar
146,989,205048,Chak Faiz,64022,Bindwalia
146,989,205010,Chak Farid,64010,Banzaripur
146,987,203939,Chak Farid,245538,Chakfarid
146,990,205869,Chak Farid T.Sarasan,64432,Chakfarid
146,991,206501,Chak Fatehullah,64842,Khizirpur Ali Nagar
146,987,203450,Chak Fatima Urf Bairak,64076,Chak Fatima Urf Bairak
146,990,205710,Chak Fatma,64709,Chak Fatma
146,990,206260,Chak Fatma,63921,Sonari
146,990,205916,Chak Gang,64464,Mahuwi
146,990,205917,Chak Ganni,64464,Mahuwi
146,990,205816,Chak Garib,64731,Lathudih
146,988,204438,Chak Gaus,63988,Raispur
146,990,206352,Chak Girdharia,63911,Pakhanpuraa
146,988,204024,Chak Gobrhva,64536,Dilip Rai Patti
146,988,204206,Chak Gosaipur,64655,Tadwa
146,990,206162,Chak Gulabi,63880,Chandpur
146,990,206180,Chak Habib,63899,Mahender
146,989,204763,Chak Habibulla,64806,Shadatpur
146,990,206060,Chak Habibullah Urf Bhagwanpah,64418,Bahadurpur
146,990,206264,Chak Hakim,63872,Awathhi Basant
146,990,206265,Chak Ham,63888,Jogamusahib
146,990,205851,Chak Hamja,64469,Nonahra
146,989,205062,Chak Hankari,64023,Biraich
146,6834,205784,Chak Hanumat,64699,Barhi Urf Bandae
146,988,204100,Chak Harballam,64347,Sauri
146,991,206596,Chak Harbansh,64840,Kharaicha
146,989,204984,Chak Hasan,64046,Mehar Alipur Urf Bhauri
146,988,204342,Chak Hasan,270463,Jiwanchak
146,6834,205487,Chak Hatim,64206,Dahi
146,989,204780,Chak Husain,64772,Bhikhanapur
146,989,204774,Chak Husain,64761,Chakjamaluddin Zamin Urf Afjalpur
146,990,205848,Chak Husaini,64446,Haisi
146,989,204792,Chak Husamuddin Urf Kesarpur,64796,Manpur
146,989,205097,Chak Husen,64020,Bidiapara
146,989,205060,Chak Hussam,64023,Biraich
146,989,205011,Chak Husse,64010,Banzaripur
146,990,205825,Chak Ibrahim,64425,Bhala
146,990,206138,Chak Ibrahimpur M. Murtajapur,64463,Madhupur
146,990,205996,Chak Inayat,64449,Hata
146,990,205845,Chak Jafar,64433,Chak Molana Khejir
146,989,205113,Chak Jafer,64049,Nagawa Khurd Urf Kataila
146,990,206083,Chak Jahrullah,64484,Sultanpur
146,987,203641,Chak Jain,64105,Khetaabpur
146,989,204960,Chak Jainab,64043,Mahamudpur
146,6834,205466,Chak Jainab,64202,Chak Jainab
146,990,206026,Chak Jalal Bairan Urf Kaushikp,64415,Ahirauli
146,990,205923,Chak Jalalkuvari Urf Mohanpura,64489,Chakjalalkuwati Urf Mohanpura
146,989,204942,Chak Jamaluddin,64055,Raipur
146,989,204782,Chak Jamaluddin J.Jayantidaspu,64788,Jayantidaspur
