local_body_code,district_code,district_name,source
249408,125,Bahraich,PMAY-Urban List of ULB
249409,125,Bahraich,PMAY-Urban List of ULB
249410,125,Bahraich,PMAY-Urban List of ULB
249411,125,Bahraich,PMAY-Urban List of ULB
249412,181,Shrawasti,PMAY-Urban List of ULB
249413,181,Shrawasti,PMAY-Urban List of ULB
249414,127,Balrampur,PMAY-Urban List of ULB
249415,127,Balrampur,PMAY-Urban List of ULB
249416,127,Balrampur,PMAY-Urban List of ULB
249417,127,Balrampur,PMAY-Urban List of ULB
249418,147,Gonda,PMAY-Urban List of ULB
249419,147,Gonda,PMAY-Urban List of ULB
249420,147,Gonda,PMAY-Urban List of ULB
249421,147,Gonda,PMAY-Urban List of ULB
249422,147,Gonda,PMAY-Urban List of ULB
249423,147,Gonda,PMAY-Urban List of ULB
249426,182,Siddharthnagar,PMAY-Urban List of ULB
249427,182,Siddharthnagar,PMAY-Urban List of ULB
249428,182,Siddharthnagar,PMAY-Urban List of ULB
249429,131,Basti,PMAY-Urban List of ULB
249430,131,Basti,PMAY-Urban List of ULB
249431,178,Sant Kabir Nagar,PMAY-Urban List of ULB
249433,178,Sant Kabir Nagar,PMAY-Urban List of ULB
249434,178,Sant Kabir Nagar,PMAY-Urban List of ULB
249435,178,Sant Kabir Nagar,PMAY-Urban List of ULB
249436,164,Mahrajganj,PMAY-Urban List of ULB
249437,164,Mahrajganj,PMAY-Urban List of ULB
249438,164,Mahrajganj,PMAY-Urban List of ULB
249439,164,Mahrajganj,PMAY-Urban List of ULB
249440,164,Mahrajganj,PMAY-Urban List of ULB
249441,164,Mahrajganj,PMAY-Urban List of ULB
249442,148,Gorakhpur,PMAY-Urban List of ULB
249443,148,Gorakhpur,PMAY-Urban List of ULB
249444,148,Gorakhpur,PMAY-Urban List of ULB
249446,148,Gorakhpur,PMAY-Urban List of ULB
249447,148,Gorakhpur,PMAY-Urban List of ULB
249448,148,Gorakhpur,PMAY-Urban List of ULB
249449,148,Gorakhpur,PMAY-Urban List of ULB
249450,148,Gorakhpur,PMAY-Urban List of ULB
249451,160,Kushinagar,PMAY-Urban List of ULB
249452,160,Kushinagar,PMAY-Urban List of ULB
249453,160,Kushinagar,PMAY-Urban List of ULB
249454,160,Kushinagar,PMAY-Urban List of ULB
249457,160,Kushinagar,PMAY-Urban List of ULB
249458,137,Deoria,PMAY-Urban List of ULB
249459,137,Deoria,PMAY-Urban List of ULB
249460,137,Deoria,PMAY-Urban List of ULB
249461,137,Deoria,PMAY-Urban List of ULB
249462,137,Deoria,PMAY-Urban List of ULB
249463,137,Deoria,PMAY-Urban List of ULB
249464,137,Deoria,PMAY-Urban List of ULB
249465,137,Deoria,PMAY-Urban List of ULB
249466,137,Deoria,PMAY-Urban List of ULB
249467,137,Deoria,PMAY-Urban List of ULB
249468,123,Azamgarh,PMAY-Urban List of ULB
249469,123,Azamgarh,PMAY-Urban List of ULB
249470,123,Azamgarh,PMAY-Urban List of ULB
249471,123,Azamgarh,PMAY-Urban List of ULB
249472,123,Azamgarh,PMAY-Urban List of ULB
249474,123,Azamgarh,PMAY-Urban List of ULB
249477,123,Azamgarh,PMAY-Urban List of ULB
249478,123,Azamgarh,PMAY-Urban List of ULB
249479,123,Azamgarh,PMAY-Urban List of ULB
249480,123,Azamgarh,PMAY-Urban List of ULB
