local_body_code,district_code,district_name,source
249208,150,Hardoi,PMAY-Urban List of ULB
249209,150,Hardoi,PMAY-Urban List of ULB
249211,186,Unnao,PMAY-Urban List of ULB
249212,186,Unnao,PMAY-Urban List of ULB
249213,186,Unnao,PMAY-Urban List of ULB
249214,186,Unnao,PMAY-Urban List of ULB
249215,186,Unnao,PMAY-Urban List of ULB
249216,186,Unnao,PMAY-Urban List of ULB
249217,186,Unnao,PMAY-Urban List of ULB
249218,186,Unnao,PMAY-Urban List of ULB
249219,186,Unnao,PMAY-Urban List of ULB
249220,186,Unnao,PMAY-Urban List of ULB
249221,186,Unnao,PMAY-Urban List of ULB
249222,186,Unnao,PMAY-Urban List of ULB
249223,186,Unnao,PMAY-Urban List of ULB
249226,186,Unnao,PMAY-Urban List of ULB
249227,186,Unnao,PMAY-Urban List of ULB
249228,186,Unnao,PMAY-Urban List of ULB
249229,186,Unnao,PMAY-Urban List of ULB
249230,162,Lucknow,PMAY-Urban List of ULB
249231,162,Lucknow,PMAY-Urban List of ULB
249232,162,Lucknow,PMAY-Urban List of ULB
249233,162,Lucknow,PMAY-Urban List of ULB
249234,162,Lucknow,PMAY-Urban List of ULB
249235,162,Lucknow,PMAY-Urban List of ULB
249236,162,Lucknow,PMAY-Urban List of ULB
249237,162,Lucknow,PMAY-Urban List of ULB
249238,175,Rae Bareli,PMAY-Urban List of ULB
249239,175,Rae Bareli,PMAY-Urban List of ULB
249240,640,Amethi,PMAY-Urban List of ULB
249241,175,Rae Bareli,PMAY-Urban List of ULB
249242,174,Pratapgarh,PMAY-Urban List of ULB
249243,175,Rae Bareli,PMAY-Urban List of ULB
249244,175,Rae Bareli,PMAY-Urban List of ULB
249245,175,Rae Bareli,PMAY-Urban List of ULB
249246,175,Rae Bareli,PMAY-Urban List of ULB
249247,141,Farrukhabad,PMAY-Urban List of ULB
249248,141,Farrukhabad,PMAY-Urban List of ULB
249250,141,Farrukhabad,PMAY-Urban List of ULB
249251,141,Farrukhabad,PMAY-Urban List of ULB
249252,141,Farrukhabad,PMAY-Urban List of ULB
249253,155,Kannauj,PMAY-Urban List of ULB
249254,155,Kannauj,PMAY-Urban List of ULB
249255,155,Kannauj,PMAY-Urban List of ULB
249256,155,Kannauj,PMAY-Urban List of ULB
249257,155,Kannauj,PMAY-Urban List of ULB
249258,155,Kannauj,PMAY-Urban List of ULB
249259,155,Kannauj,PMAY-Urban List of ULB
249260,155,Kannauj,PMAY-Urban List of ULB
249261,139,Etawah,PMAY-Urban List of ULB
249262,139,Etawah,PMAY-Urban List of ULB
249263,139,Etawah,PMAY-Urban List of ULB
249264,139,Etawah,PMAY-Urban List of ULB
249265,139,Etawah,PMAY-Urban List of ULB
249266,139,Etawah,PMAY-Urban List of ULB
249267,122,Auraiya,PMAY-Urban List of ULB
249268,122,Auraiya,PMAY-Urban List of ULB
249269,122,Auraiya,PMAY-Urban List of ULB
249270,122,Auraiya,PMAY-Urban List of ULB
249271,122,Auraiya,PMAY-Urban List of ULB
249272,122,Auraiya,PMAY-Urban List of ULB
249273,122,Auraiya,PMAY-Urban List of ULB
249275,156,Kanpur Dehat,PMAY-Urban List of ULB
249276,156,Kanpur Dehat,PMAY-Urban List of ULB
249277,156,Kanpur Dehat,PMAY-Urban List of ULB
249279,156,Kanpur Dehat,PMAY-Urban List of ULB
249282,157,Kanpur Nagar,PMAY-Urban List of ULB
249283,157,Kanpur Nagar,PMAY-Urban List of ULB
249285,157,Kanpur Nagar,PMAY-Urban List of ULB
249286,157,Kanpur Nagar,PMAY-Urban List of ULB
249290,157,Kanpur Nagar,PMAY-Urban List of ULB
249291,151,Jalaun,PMAY-Urban List of ULB
249292,151,Jalaun,PMAY-Urban List of ULB
249293,151,Jalaun,PMAY-Urban List of ULB
249294,151,Jalaun,PMAY-Urban List of ULB
249295,151,Jalaun,PMAY-Urban List of ULB
249296,151,Jalaun,PMAY-Urban List of ULB
249297,151,Jalaun,PMAY-Urban List of ULB
249298,151,Jalaun,PMAY-Urban List of ULB
249299,151,Jalaun,PMAY-Urban List of ULB
249300,151,Jalaun,PMAY-Urban List of ULB
249301,153,Jhansi,PMAY-Urban List of ULB
249302,153,Jhansi,PMAY-Urban List of ULB
249303,153,Jhansi,PMAY-Urban List of ULB
249304,153,Jhansi,PMAY-Urban List of ULB
249305,153,Jhansi,PMAY-Urban List of ULB
249306,153,Jhansi,PMAY-Urban List of ULB
249307,153,Jhansi,PMAY-Urban List of ULB
249308,153,Jhansi,PMAY-Urban List of ULB
249309,153,Jhansi,PMAY-Urban List of ULB
