gram_panchayat_code,gram_panchayat_name,district_code,parent_kp_code
86870,Ranmastpur Buzurg,180,2098
242960,Rasa Nagariya,180,2103
48373,Rasepur,123,1469
54293,Rasoolpur,131,1563
62218,Rasoolpur,142,1689
73409,Rasoolpur,159,1881
81235,Rasoolpur,172,2010
85581,Rasoolpur,177,2081
80677,Rasoolpur Hamir,171,2001
55913,Rasoolpur Kala,133,1584
46408,Rasoolpur Mubarakpur,121,1441
56689,Rasoolpur Nagla,133,1597
271566,Rasooulpur,183,2135
50297,Rasra Bahadi,126,1504
91989,Rasul Pur,640,2181
92636,Rasul Pur,186,2192
47669,Rasulpur,123,1459
78017,Rasulpur,167,1955
64341,Rasulpur Barhat,146,1726
56977,Rasulpur Sarafuddinpur Urf Acheja Ghat,134,1603
64058,Rasulpur T. Shakhpur,146,1722
62340,Ratanpur,142,1691
265919,Ratanpur,187,2204
267246,Ratibhanpur,166,1947
67140,Rauja Dargah,148,1769
87108,Rauli Bouri,180,2102
87283,Rautapur Kalan,180,2106
91656,Rawania Paschim,185,2174
92815,Rawat Pur,186,2195
71788,Rawatpur,156,1852
93277,Razala,187,2201
80435,Reeth,659,1996
47743,Reewa Sultanpur,123,1460
87508,Rehariya,180,2111
78399,Reoli Narhar Pur,168,1962
61151,Revari,140,1673
58205,Revasa,135,1623
87758,Rewalia,181,2115
91011,Rewda,640,2163
45880,Rewna,121,1435
50049,Rigawan,126,1499
54740,Rikhipur,131,1569
78156,Rithaura,167,1958
56273,Rithia,133,1590
88491,Riwana,182,2125
64254,Rohili,146,1725
269313,Rohua,182,2125
53771,Rojhia,131,1556
61416,Rooharee,140,1677
73098,Roshan Nagar,159,1876
73099,Roshan Nagar Kusmouri,159,1876
87564,Rudarpur,180,2112
82282,Rudrapur,173,2027
88581,Rudrooliya Bujurg,182,2126
64059,Ruhipur,146,1722
86526,Sabarpur,179,2094
72402,Sachendi Urf Chacheri,157,1863
55662,Sadanpur,132,1580
48082,Sadaruddinpur,123,1465
86806,Sadawpur,179,2092
269471,Sadhra Bhari,185,2165
73349,Sadhuwapur,159,1880
81129,Safipur Patti,172,2008
64752,Sagapali Dayal Singh,146,1732
47382,Saghan Patti,123,1455
272683,Sahabajpur,126,1504
67651,Sahapur Chamraha,150,1779
78114,Sahapur Jatan,167,1957
54165,Sahas Rao,131,1561
271133,Sahaspur,183,2140
89951,Sahiapur,183,2146
67010,Sahijana,148,1767
68201,Sahijana,150,1789
242128,Sahora,180,2107
272516,Sahora,150,1792
53071,Sahora Khurd,130,1545
49882,Sahras Pali,126,1496
48150,Sahriya,123,1466
88969,Sahroi Sikatiha,183,2132
90503,Sahuar,184,2155
66715,Sahulakhor,148,1762
45725,Saidapur,121,1433
269464,Saidapur,180,2103
46523,Saidpur,122,1443
62343,Saidpur Pachmai,142,1691
47856,Saifpur Urf Bajanpur,123,1462
56590,Sainjania,133,1595
84117,Sairapur,175,2060
46039,Saithua Dharampur,121,1437
46922,Sajani,123,1449
54166,Sakar Daha,131,1561
269810,Sakarpur,146,1725
66587,Sakhi,148,277620
268012,Salampur,177,2082
75638,Saleh Nagar,162,1915
55566,Salempur,132,1579
57734,Salempur,135,1616
62470,Salempur,142,1693
68202,Salempur,150,1789
71669,Salempur Derapur,156,1850
273791,Salethu,186,2193
55034,Salmabad,132,1573
45021,Samariha,120,1423
53937,Samas Pur,131,1558
59757,Samash Pur,633,1648
48086,Samashpur,123,1465
66431,Samay Sthan Bhiti,148,1758
86034,Samogar,178,2087
52416,Sandari,140,1536
54167,Sangrampur,131,1561
269108,Sapah,173,2027
93451,Sarahari,187,2203
89138,Sarai,183,2134
271357,Sarai,183,2150
64672,Sarai Alikhan,146,1731
58062,Sarai Chotu,135,1621
43179,Sarai Day Ruppa,118,1396
50462,Sarai Kota,126,1507
64345,Sarai Manikraj,146,1726
271813,Sarai Mubarak,123,1467
63996,Sarai Sarif,146,1721
44367,Saraijeetrai Urf Pure Bhawa,120,1414
53993,Saraiya Bakshi,131,1559
93203,Saraiya No 2,187,2200
71789,Saraiyan,156,1852
93625,Sarangpur,187,2205
64405,Sarar Urf Haiderganj,146,1727
62473,Sarauli,142,1693
62719,Sarauli,142,1697
88971,Saraura,183,2132
93126,Sarava,187,2199
63662,Sarava Mirzapur,661,1714
48460,Sarawan,123,1470
82578,Saraybabuien,174,2031
272210,Sareefabad,186,2183
267957,Sari Hichchha,131,1567
54598,Sari Kalp,131,1567
83458,Saripur,175,2045
86422,Saripur,179,2093
91678,Sarkoura,185,2174
92875,Sarosi,186,2196
72495,Sarsaul,157,1865
75639,Sarthara,162,1915
62347,Sarwanpur Nidaura,142,1691
270508,Sasana,146,1730
81386,Sasayanch,172,2013
53313,Satuiya Khas,130,1549
86941,Satva Khurd,180,2099
54673,Saunghat,131,1568
239697,Saurai,174,2039
272635,Sawapar,126,1501
63863,Sawrai,146,1719
56278,Seha Boura,133,1590
267702,Sehariya,131,1564
271934,Sekhapur,175,2061
270763,Sekhmauli Kartalpur,123,1451
74561,Sekhui Khas,160,1898
274005,Sekhui Senapati,182,2120
54295,Selhra,131,1563
47310,Sema,123,1454
58127,Semara,135,1622
88350,Semara,182,2123
49886,Semari,126,1496
269661,Semari Ta Lawayan,120,1421
270095,Semiria,161,1909
268798,Semra Ghat,159,1888
62475,Semraha,142,1693
80434,Seondara,171,1998
58215,Sevakhar Kala,135,1623
47312,Sevata,123,1454
272827,Sevkari,185,2165
89421,Shah Jalalpur,183,2138
53431,Shahabaj Pur,130,1551
91048,Shahari,640,2164
64262,Shahbaazpur,146,1725
64263,Shahbazpur,146,1725
63664,Shahbuddinpur Nagar,661,1714
