village_code,village_name,district_code,tehsil_code
124797,Kitham,118,767
125239,Kiyori,118,770
125066,Kolara Kalan,118,769
125072,Kolara Khurd,118,769
125065,Kolari,118,769
124881,Kondari,118,768
125396,Kookapur,118,770
125136,Koomppura,118,769
124765,Korai,118,767
125399,Korath,118,770
125262,Kot,118,770
125124,Krapal Pura,118,769
124671,Kuan Khera,118,766
124504,Kuberpur,118,765
124929,Kukandai,118,768
124810,Kukathala,118,767
124974,Kukawar,118,768
125231,Kukthari,118,770
124932,Kulhara,118,768
124685,Kundol,118,766
125310,Kunwar Kheda,118,770
124533,Kurgawan Khokar,118,765
125031,Kurra Chitterpur,118,769
125183,Kutabpur Gujar,118,769
124627,Kuthawati,118,766
125278,Kwaari,118,770
125351,Kyari,118,770
125224,Ladhavapura,118,770
124993,Ladukhera,118,768
125082,Lahar Patti,118,769
125050,Lahara,118,769
124978,Lahchora,118,768
124657,Lakavali,118,766
124573,Lakhanpur,118,766
125063,Lakhanpur,118,769
125304,Lakhanpur Khalsa,118,770
124959,Lakhanpura,118,768
125365,Lakhanpura Jogir,118,770
124564,Lakhna Mai,118,765
125037,Lakhurani,118,769
124616,Lalau,118,766
124965,Lalpur,118,768
125229,Lalpura,118,770
124592,Laramada,118,766
940842,Lashkar Pur,118,766
124652,Lodhai,118,766
124804,Loh Karera,118,767
125042,Lohari Iradatnagar,118,769
125039,Loheta,118,769
125180,Luhari Fatehabad,118,769
124472,Madan Pur (A.H.),118,765
124467,Madan Pur Must,118,765
125376,Madhaya Jaisingh,118,770
125331,Madhepura,118,770
124546,Mahabatpur,118,765
124700,Mahadau,118,767
125005,Mahao,118,768
125207,Mahapur,118,770
125142,Maharajpur,118,769
125085,Maharampur,118,769
125015,Mahdewa,118,768
125169,Mahra Chaudhri,118,769
125345,Mahua,118,770
124672,Mahua Khera,118,766
124964,Mahua Khera,118,768
124824,Mahuar,118,767
125260,Mai,118,770
124995,Mai,118,768
124795,Mai,118,767
124740,Mai Bujurg,118,767
124766,Malikpur,118,767
125334,Maloni,118,770
124608,Malpura,118,766
124474,Malupur,118,765
124726,Mandi Mirza Khan,118,767
124749,Mandoli,118,767
125270,Mangadpur,118,770
125022,Mangalpur Bartara,118,768
124802,Mangarol Gujar,118,767
124827,Mangarol Jat,118,767
124587,Manghatai,118,766
124732,Mangoli Kalan,118,767
124734,Mangoli Khurd,118,767
124815,Mangura,118,767
125201,Manhgoli,118,770
125206,Manikpura,118,770
124853,Maniyan,118,767
124617,Mankenda,118,766
125197,Manona,118,770
125265,Mansoorpura,118,770
125103,Maraina,118,769
125393,Mau,118,770
940843,Mau Ehatmali,118,766
940844,Mau Mushatkil,118,766
124659,Mayapura,118,766
124681,Mehra Naharganj,118,766
124910,Mevla,118,768
124909,Mevli,118,768
125094,Mewali Kalan,118,769
125095,Mewali Khurd,118,769
124594,Midhakur,118,766
125302,Midkoli,118,770
125021,Mihawa,118,768
125210,Milik,118,770
125055,Mirpur,118,769
125241,Mitaili,118,770
124566,Mitaoli,118,765
125157,Mithpura,118,769
125378,Modidanda,118,770
125230,Modipura,118,770
124574,Mohammadpur,118,766
125137,Mohammadpur,118,769
124717,Mohammadpur,118,767
124988,Mohanpur,118,768
124539,Mohisinabad,118,765
124839,Mori,118,767
125023,Motipura,118,768
125024,Mubarikpur,118,769
124790,Mubarizpur,118,767
124528,Mubarkpur Nidhauli,118,765
125285,Mudiyapura,118,770
124990,Mukhrai,118,768
124550,Mukhwar,118,765
125390,Mukutpura,118,770
124614,Mundhera,118,766
124496,Mundi Jahangirpur,118,765
125166,Murawal,118,769
124807,Murenda,118,767
124970,Murkia,118,768
124543,Murlidharpur,118,765
124522,Murthar Alipur,118,765
125143,Musepura,118,769
125105,Mutawai,118,769
125068,Mutnai,118,769
125077,Muzaffarpur,118,769
124498,Nadau,118,765
124686,Nadauta,118,766
